IRI Profile on 20100101 0200 UT 
Altitude, Ne[m^-3], Ti[K],Te[K]
291.00,1.479e+11,980.58,1407.77
292.00,1.475e+11,983.84,1408.82
293.00,1.471e+11,987.10,1409.99
294.00,1.466e+11,990.35,1411.28
295.00,1.462e+11,993.61,1412.71
296.00,1.457e+11,996.87,1414.29
297.00,1.452e+11,1000.13,1416.04
298.00,1.448e+11,1003.38,1417.98
299.00,1.443e+11,1006.64,1420.10
300.00,1.438e+11,1009.90,1422.42
301.00,1.433e+11,1013.15,1424.94
302.00,1.428e+11,1016.41,1427.65
303.00,1.423e+11,1019.67,1430.55
304.00,1.417e+11,1022.93,1433.63
305.00,1.412e+11,1026.18,1436.88
306.00,1.407e+11,1029.44,1440.29
307.00,1.401e+11,1032.70,1443.84
308.00,1.396e+11,1035.96,1447.51
309.00,1.390e+11,1039.21,1451.29
310.00,1.384e+11,1042.47,1455.17
311.00,1.379e+11,1045.73,1459.14
312.00,1.373e+11,1048.98,1463.17
313.00,1.367e+11,1052.24,1467.27
314.00,1.361e+11,1055.50,1471.41
315.00,1.355e+11,1058.76,1475.60
316.00,1.349e+11,1062.01,1479.82
317.00,1.343e+11,1065.27,1484.08
318.00,1.337e+11,1068.53,1488.36
319.00,1.330e+11,1071.79,1492.66
320.00,1.324e+11,1075.04,1496.97
321.00,1.318e+11,1078.30,1501.30
322.00,1.312e+11,1081.56,1505.64
323.00,1.305e+11,1084.81,1509.99
324.00,1.299e+11,1088.07,1514.35
325.00,1.292e+11,1091.33,1518.72
326.00,1.286e+11,1094.59,1523.09
327.00,1.279e+11,1097.84,1527.46
328.00,1.273e+11,1101.10,1531.84
329.00,1.266e+11,1104.36,1536.22
330.00,1.259e+11,1107.62,1540.61
331.00,1.253e+11,1110.87,1544.99
332.00,1.246e+11,1114.13,1549.38
333.00,1.239e+11,1117.39,1553.77
334.00,1.232e+11,1120.64,1558.16
335.00,1.225e+11,1123.90,1562.55
336.00,1.219e+11,1127.16,1566.94
337.00,1.212e+11,1130.42,1571.33
338.00,1.205e+11,1133.67,1575.73
339.00,1.198e+11,1136.93,1580.12
340.00,1.191e+11,1140.19,1584.51
341.00,1.184e+11,1143.44,1588.91
342.00,1.177e+11,1146.70,1593.30
343.00,1.170e+11,1149.96,1597.69
344.00,1.163e+11,1153.22,1602.09
345.00,1.156e+11,1156.47,1606.48
346.00,1.149e+11,1159.73,1610.88
347.00,1.142e+11,1162.99,1615.27
348.00,1.135e+11,1166.24,1619.67
349.00,1.128e+11,1169.50,1624.06
350.00,1.121e+11,1172.76,1628.45
351.00,1.114e+11,1176.02,1632.85
352.00,1.107e+11,1179.27,1637.24
353.00,1.100e+11,1182.53,1641.64
354.00,1.093e+11,1185.79,1646.03
355.00,1.086e+11,1189.04,1650.43
356.00,1.079e+11,1192.30,1654.82
357.00,1.072e+11,1195.56,1659.22
358.00,1.065e+11,1198.81,1663.61
359.00,1.058e+11,1202.07,1668.01
360.00,1.051e+11,1205.33,1672.40
361.00,1.044e+11,1208.58,1676.80
362.00,1.037e+11,1211.84,1681.19
363.00,1.030e+11,1215.10,1685.58
364.00,1.023e+11,1218.35,1689.98
365.00,1.016e+11,1221.61,1694.37
366.00,1.009e+11,1224.87,1698.77
367.00,1.002e+11,1228.12,1703.16
368.00,9.947e+10,1231.38,1707.56
369.00,9.878e+10,1234.63,1711.95
370.00,9.808e+10,1237.89,1716.35
371.00,9.740e+10,1241.15,1720.74
372.00,9.671e+10,1244.40,1725.14
373.00,9.602e+10,1247.66,1729.53
374.00,9.534e+10,1250.91,1733.92
375.00,9.466e+10,1254.17,1738.32
376.00,9.398e+10,1257.42,1742.71
377.00,9.330e+10,1260.67,1747.11
378.00,9.262e+10,1263.93,1751.50
379.00,9.195e+10,1267.18,1755.90
380.00,9.128e+10,1270.44,1760.29
381.00,9.061e+10,1273.69,1764.69
382.00,8.994e+10,1276.94,1769.08
383.00,8.928e+10,1280.19,1773.47
384.00,8.862e+10,1283.44,1777.87
385.00,8.796e+10,1286.69,1782.26
386.00,8.731e+10,1289.94,1786.66
387.00,8.666e+10,1293.19,1791.05
388.00,8.601e+10,1296.44,1795.44
389.00,8.536e+10,1299.69,1799.84
390.00,8.472e+10,1302.93,1804.23
391.00,8.408e+10,1306.18,1808.63
392.00,8.344e+10,1309.42,1813.02
393.00,8.280e+10,1312.66,1817.41
394.00,8.217e+10,1315.91,1821.81
395.00,8.154e+10,1319.14,1826.20
396.00,8.092e+10,1322.38,1830.59
397.00,8.030e+10,1325.62,1834.99
398.00,7.968e+10,1328.85,1839.38
399.00,7.907e+10,1332.08,1843.77
400.00,7.846e+10,1335.31,1848.17
401.00,7.785e+10,1338.53,1852.56
402.00,7.724e+10,1341.75,1856.95
403.00,7.664e+10,1344.97,1861.35
404.00,7.605e+10,1348.19,1865.74
405.00,7.545e+10,1351.40,1870.13
406.00,7.486e+10,1354.60,1874.52
407.00,7.428e+10,1357.80,1878.92
408.00,7.369e+10,1361.00,1883.31
409.00,7.311e+10,1364.19,1887.70
410.00,7.254e+10,1367.37,1892.09
411.00,7.197e+10,1370.55,1896.49
412.00,7.140e+10,1373.72,1900.88
413.00,7.083e+10,1376.88,1905.27
414.00,7.027e+10,1380.03,1909.66
415.00,6.972e+10,1383.17,1914.05
416.00,6.916e+10,1386.31,1918.45
417.00,6.861e+10,1389.43,1922.84
418.00,6.807e+10,1392.54,1927.23
419.00,6.753e+10,1395.64,1931.62
420.00,6.699e+10,1398.73,1936.01
421.00,6.645e+10,1401.81,1940.40
422.00,6.592e+10,1404.87,1944.80
423.00,6.540e+10,1407.92,1949.19
424.00,6.487e+10,1410.95,1953.58
425.00,6.436e+10,1413.97,1957.97
426.00,6.384e+10,1416.97,1962.36
427.00,6.333e+10,1419.96,1966.75
428.00,6.282e+10,1422.94,1971.14
429.00,6.232e+10,1425.89,1975.54
430.00,6.182e+10,1428.83,1979.93
431.00,6.132e+10,1431.76,1984.32
432.00,6.083e+10,1434.66,1988.71
433.00,6.034e+10,1437.55,1993.10
434.00,5.986e+10,1440.43,1997.49
435.00,5.938e+10,1443.29,2001.88
436.00,5.890e+10,1446.13,2006.27
437.00,5.843e+10,1448.96,2010.66
438.00,5.796e+10,1451.78,2015.05
439.00,5.749e+10,1454.58,2019.44
440.00,5.703e+10,1457.37,2023.83
441.00,5.657e+10,1460.14,2028.23
442.00,5.612e+10,1462.91,2032.62
443.00,5.567e+10,1465.66,2037.01
444.00,5.522e+10,1468.40,2041.40
445.00,5.478e+10,1471.13,2045.79
446.00,5.434e+10,1473.85,2050.18
447.00,5.391e+10,1476.56,2054.57
448.00,5.347e+10,1479.26,2058.96
449.00,5.305e+10,1481.96,2063.35
450.00,5.262e+10,1484.64,2067.74
451.00,5.220e+10,1487.32,2072.13
452.00,5.178e+10,1490.00,2076.52
453.00,5.137e+10,1492.67,2080.91
454.00,5.096e+10,1495.33,2085.29
455.00,5.055e+10,1497.99,2089.68
456.00,5.015e+10,1500.64,2094.07
457.00,4.975e+10,1503.29,2098.46
458.00,4.936e+10,1505.94,2102.85
459.00,4.896e+10,1508.58,2107.24
460.00,4.857e+10,1511.22,2111.63
461.00,4.819e+10,1513.85,2116.02
462.00,4.781e+10,1516.49,2120.40
463.00,4.743e+10,1519.12,2124.79
464.00,4.705e+10,1521.75,2129.18
465.00,4.668e+10,1524.37,2133.57
466.00,4.631e+10,1527.00,2137.95
467.00,4.595e+10,1529.62,2142.34
468.00,4.559e+10,1532.24,2146.73
469.00,4.523e+10,1534.86,2151.11
470.00,4.487e+10,1537.48,2155.50
471.00,4.452e+10,1540.10,2159.89
472.00,4.417e+10,1542.71,2164.27
473.00,4.383e+10,1545.33,2168.66
474.00,4.349e+10,1547.94,2173.04
